id;name;address;capacity;equipment_type
1;against gadzooks firm;as yowza from;25223;government knottily
2;guilty;mysteriously trim;12200;yet about yippee
3;woot;proliferate blaspheme;10026;consequently tarragon godfather
4;exhaust;till retrospectivity;22922;hm quarrelsomely
5;kindheartedly;understated miskey peaceful;23266;than bah
6;popularity;dependency;2406;earnest
7;beyond;kindly frightened;28757;gee inasmuch
8;qua;before;22888;vanadyl on plagiarise
9;vainly;aw annually;12802;whoa frenetically under
10;a duster wisely;evenly garage emotional;13397;why nectarine
11;cemetery pigpen;but amongst print;1756;in rigidly
12;willfully;obnoxiously apud eek;22910;unto victoriously concerned
13;meaningfully creamy;marksman meanwhile;7498;viciously eyeglasses badly
14;whoa fooey;whoever over ack;22705;instead vacantly
15;low yuck flu;how complication;12007;chromakey that
16;ick;softly loyally;3476;extract
17;before oof loosely;astonishing qua ah;8788;that goose ick
18;boohoo tomorrow considering;nervously kettledrum;3272;convince
19;attribute contrail;aw mismatch mispronounce;13479;bench
20;scare intently phew;silent inure outside;31738;incidentally flight over
21;tinderbox grizzled;bitterly and;4911;minus
22;between instead as;carefree;1695;afore narrate
23;lest aha;nasalise;1692;elevation
24;brace quaintly ack;pish;27007;yet shear highly
25;mortally psst;bolster;2005;elegantly buzzing
26;save cycle;gullible after;31798;oof ridge since
27;though ferociously;ribbon since;12862;testify ambitious randomize
28;optimistic;sunbeam;6076;wombat once excluding
29;bathhouse geez confide;ah hmph yuck;24853;lazy arraign
30;unless oh dial;wilted;7979;polyester
