id;number_of_participants;preferred_start_date;preferred_location;status;actual_start_date;actual_end_date
1;21185;2026-05-30;substitution ouch;COMPLETED;2026-05-30T21:58:55;2026-05-30T20:42:31
2;13634;2026-05-30;ascertain rowdy;COMPLETED;2026-05-31T10:51:00;2026-05-31T02:44:58
3;15205;2026-05-30;delightfully often;CANCELLED;2026-05-31T05:45:06;2026-05-31T01:43:39
4;4750;2026-05-30;save faithfully;SCHEDULED;2026-05-30T14:23:16;2026-05-31T03:59:40
5;14269;2026-05-30;striking electric hmph;COMPLETED;2026-05-31T04:06:08;2026-05-30T20:28:55
6;12624;2026-05-31;zowie what eek;SCHEDULED;2026-05-31T08:10:30;2026-05-31T02:04:50
7;16529;2026-05-31;mentor hmph;PENDING;2026-05-31T10:38:34;2026-05-31T06:07:43
8;27786;2026-05-30;out where;CANCELLED;2026-05-31T09:52:12;2026-05-31T04:59:05
9;30711;2026-05-31;impassioned;PENDING;2026-05-31T04:50:46;2026-05-31T02:40:24
10;16373;2026-05-30;toward;PENDING;2026-05-31T09:34:12;2026-05-30T15:43:19
11;28892;2026-05-30;uh-huh zowie;CANCELLED;2026-05-30T15:17:02;2026-05-31T08:41:41
12;11241;2026-05-31;eke;COMPLETED;2026-05-31T07:06:10;2026-05-31T00:16:28
13;4677;2026-05-31;phooey;COMPLETED;2026-05-31T01:48:26;2026-05-30T20:41:46
14;9087;2026-05-30;woot trick;COMPLETED;2026-05-30T20:49:48;2026-05-31T05:03:03
15;892;2026-05-30;frank blah majestic;CANCELLED;2026-05-30T13:29:27;2026-05-31T03:53:10
16;26053;2026-05-30;while plump;COMPLETED;2026-05-30T17:45:57;2026-05-31T06:35:47
17;21086;2026-05-31;brave seriously yuck;PENDING;2026-05-31T12:46:52;2026-05-30T18:13:59
18;31066;2026-05-31;smug necklace;COMPLETED;2026-05-30T21:51:20;2026-05-30T23:30:21
19;23215;2026-05-31;amidst;COMPLETED;2026-05-31T06:32:28;2026-05-30T19:45:21
20;25350;2026-05-31;ack;COMPLETED;2026-05-31T00:12:01;2026-05-30T23:25:19
21;14134;2026-05-31;beyond blissfully rosy;PLANNING;2026-05-30T21:38:24;2026-05-31T11:39:58
22;8967;2026-05-30;yum which unearth;PLANNING;2026-05-31T01:32:50;2026-05-31T12:56:02
23;16532;2026-05-30;noxious toe ah;PLANNING;2026-05-31T11:03:48;2026-05-31T11:15:53
24;3299;2026-05-31;frantically density ouch;PENDING;2026-05-31T00:57:36;2026-05-30T15:14:28
25;21542;2026-05-30;since in;CANCELLED;2026-05-30T17:56:43;2026-05-31T08:30:37
26;24196;2026-05-31;fooey negative precious;SCHEDULED;2026-05-30T16:44:32;2026-05-31T00:18:10
27;27163;2026-05-30;knottily over whoa;COMPLETED;2026-05-31T12:44:41;2026-05-31T10:18:25
28;2417;2026-05-31;popularize minus;COMPLETED;2026-05-31T00:10:20;2026-05-30T16:40:48
29;22630;2026-05-30;outlandish whack queasily;PLANNING;2026-05-31T02:24:28;2026-05-31T03:23:15
30;8678;2026-05-30;finally an;PLANNING;2026-05-30T15:12:18;2026-05-30T20:50:58
