id;available_from;available_to
1;2026-05-30T15:03:12;2026-05-31T10:00:04
2;2026-05-30T14:20:00;2026-05-31T10:45:00
3;2026-05-31T07:36:36;2026-05-31T02:05:17
4;2026-05-31T03:56:19;2026-05-30T19:16:38
5;2026-05-31T06:50:04;2026-05-31T04:27:14
6;2026-05-31T08:35:26;2026-05-31T06:41:38
7;2026-05-31T06:18:39;2026-05-31T10:01:43
8;2026-05-31T03:24:30;2026-05-31T00:02:13
9;2026-05-30T20:13:39;2026-05-30T15:51:02
10;2026-05-30T15:44:19;2026-05-31T07:59:32
11;2026-05-31T04:41:07;2026-05-31T13:01:13
12;2026-05-31T09:20:59;2026-05-31T05:24:15
13;2026-05-31T03:53:50;2026-05-31T07:20:33
14;2026-05-30T17:58:25;2026-05-31T05:39:23
15;2026-05-30T16:44:02;2026-05-31T01:22:44
16;2026-05-30T14:41:31;2026-05-31T00:05:44
17;2026-05-31T07:16:20;2026-05-31T00:55:53
18;2026-05-31T01:54:33;2026-05-31T07:56:08
19;2026-05-30T18:13:45;2026-05-30T16:48:51
20;2026-05-30T18:22:16;2026-05-31T01:09:52
21;2026-05-30T17:15:30;2026-05-30T20:31:10
22;2026-05-31T10:46:15;2026-05-31T09:02:10
23;2026-05-31T02:25:08;2026-05-30T16:12:45
24;2026-05-31T04:46:46;2026-05-30T13:30:06
25;2026-05-30T16:25:38;2026-05-31T07:59:19
26;2026-05-31T08:17:59;2026-05-31T04:41:11
27;2026-05-30T14:42:06;2026-05-30T14:45:01
28;2026-05-30T16:08:09;2026-05-31T02:32:13
29;2026-05-31T01:04:44;2026-05-30T17:53:24
30;2026-05-31T08:40:29;2026-05-31T00:59:40
