id;start_date;end_date;status
1;2026-05-30T21:38:21;2026-05-31T05:35:24;PLANNING
2;2026-05-31T08:40:38;2026-05-30T23:00:14;PLANNING
3;2026-05-31T06:46:08;2026-05-30T17:30:31;CANCELLED
4;2026-05-30T14:52:37;2026-05-31T07:52:28;CANCELLED
5;2026-05-31T07:19:52;2026-05-31T04:52:57;SCHEDULED
6;2026-05-31T03:02:59;2026-05-30T15:01:29;PLANNING
7;2026-05-30T18:29:29;2026-05-30T21:02:02;COMPLETED
8;2026-05-30T15:44:34;2026-05-30T20:05:11;SCHEDULED
9;2026-05-31T00:22:36;2026-05-31T00:48:30;PENDING
10;2026-05-31T05:13:23;2026-05-30T18:33:50;PENDING
11;2026-05-31T07:28:10;2026-05-31T05:32:50;SCHEDULED
12;2026-05-31T11:45:10;2026-05-30T21:18:54;PLANNING
13;2026-05-31T03:06:53;2026-05-31T08:07:46;SCHEDULED
14;2026-05-30T14:19:11;2026-05-31T00:09:20;CANCELLED
15;2026-05-30T17:40:52;2026-05-30T18:28:20;PENDING
16;2026-05-31T02:29:38;2026-05-30T20:05:50;SCHEDULED
17;2026-05-30T21:44:08;2026-05-31T08:58:57;CANCELLED
18;2026-05-30T20:09:56;2026-05-30T16:15:04;CANCELLED
19;2026-05-30T23:59:33;2026-05-31T04:43:17;SCHEDULED
20;2026-05-31T06:55:38;2026-05-30T19:08:41;PENDING
21;2026-05-31T00:13:01;2026-05-30T17:42:12;CANCELLED
22;2026-05-31T12:03:59;2026-05-30T15:09:12;PENDING
23;2026-05-31T06:50:26;2026-05-31T13:00:35;PLANNING
24;2026-05-31T02:52:45;2026-05-30T19:57:00;PLANNING
25;2026-05-30T22:16:11;2026-05-30T20:03:44;PENDING
26;2026-05-31T03:28:40;2026-05-30T17:30:27;SCHEDULED
27;2026-05-31T12:06:58;2026-05-31T03:39:49;SCHEDULED
28;2026-05-30T15:17:20;2026-05-31T08:42:37;CANCELLED
29;2026-05-30T20:34:01;2026-05-31T08:36:35;CANCELLED
30;2026-05-31T07:53:28;2026-05-30T16:35:08;SCHEDULED
